DIA;TEMP;H.R.;INT VIENTO;PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20100820;20;33;4;0;80,76035904;5,549717242;20,312;1,509684642;6,594798463;0,736641899
20100821;19;67;8;0;83,075057;6,47937199;23,436;2,439554725;7,662558137;1,901198045
20100822;23;71;14;0;83,8987603;7,458922274;27,28;3,675672561;8,860933451;3,651955704
20100823;26;56;13;0;86,75496032;9,130142418;31,664;5,186034475;10,61113034;5,796423713
20100824;17;54;3;0;86,80324644;10,29708127;34,428;3,155112053;11,78340605;3,661515636
20100825;12;80;8;0;83,43445245;10,66428999;36,292;2,555697538;12,29584303;2,926058543
20100826;15;100;10;1;72,44020896;10,66428999;38,696;1,126624397;12,62809193;0,77402583
20100827;16;98;10;0;72,54287633;10,71222335;41,28;1,131130937;12,99432712;0,79001186
20100828;20;100;6;0;72,58647033;10,71222335;44,584;0,92626755;13,38462051;0,658116242
20100829;15;71;11;0;78,68507253;11,36661171;46,988;1,740906339;14,16610796;1,895294806
20100830;9;100;12;0;74,17285663;11,36661171;48,312;1,343201619;14,31393903;0,992617212
20100831;19;100;6;10;16,77408511;5,428037166;36,11798007;4,74201E-05;7,891219216;2,5272E-05
20100901;12,7;100;3;17;1,355615649;2,067157105;11,35865879;6,23613E-09;2,841504128;2,15591E-09
20100902;14,3;100;7;22;0;0,329444774;2,278;2,71102E-09;0,483925914;6,36544E-10
20100903;11,9;100;11;6;0;0;1,846;3,31629E-09;0;6,63257E-10
20100904;12,7;100;30;0,5;0,019643946;0;3,836;8,77094E-09;0;1,75419E-09
20100905;19,6;63;0;0;22,65824604;1,262034702;7,068;0,00034807;1,745081791;0,000103802
20100906;20,7;66;12;0;59,54448271;2,483369238;10,498;0,727780204;3,121004432;0,259964656
20100907;21,7;60;5;0;76,66668837;3,986144598;14,108;1,093599322;4,672096001;0,456988884
20100908;19,3;68;10;0;81,64083798;5,061815382;17,286;2,259806985;5,844820782;1,223197371
20100909;24;70;6;0;83,60306167;6,302593722;21,31;2,362295912;7,246884874;1,711128619
20100910;23,7;69;21;0;84,46270598;7,569406986;25,28;5,640952943;8,657890574;5,659010594
20100911;19,7;70;35;25;59,39464998;4,022844686;3,25;2,29597271;3,549516241;0,859717958
20100912;16,7;64;13;0;75,50025207;5,07874211;5,96;1,517355087;4,743691381;0,638158714
20100913;13,2;100;5;0,2;73,67770591;5,07874211;8,04;0,922282324;4,870369018;0,392270928
20100914;14,4;83;24;13;41,58317356;2,392641339;2,296;0,155875495;1,982035324;0,048146406
20100915;19,3;58;5;0;67,52563666;3,804459243;5,474;0,743424662;3,555302961;0,278543461
20100916;20,9;50;0;0;78,21410107;5,617017243;8,94;0,959373902;5,410684206;0,427251363
20100917;16,3;49;8;0;84,21928087;7,079257215;11,578;2,83567448;6,884035194;2,218186499
20100918;17,5;43;18;0;87,37211309;8,826233571;14,432;7,284383652;8,629595524;7,188422815
20100919;19,4;65;11;0;86,50090334;10,00851572;17,628;4,523151645;9,844704913;4,855926716
20100920;24,8;66;9;0;86,54910558;11,45955079;21,796;4,117600131;11,33030036;4,772441988
20100921;24,1;78;5;0;84,79626662;12,37308002;25,838;2,636261393;12,28730439;3,040869733
20100922;23,7;86;0;0;82,84834404;12,94518924;29,808;1,583805038;12,905792;1,419393604
20100923;16,7;93;2;0;79,42979811;13,15050263;32,518;1,187146291;13,14524492;0,834687893
20100924;19,3;82;10;0;80,35457583;13,75556744;35,696;1,953944071;14,01210832;2,249624931
20100925;22,5;78;0;0;81,18243903;14,61109482;39,45;1,294384765;15,17306814;0,99022838
20100926;20,7;77;13;0;82,09463835;15,43729171;42,88;2,775831695;16,24953557;3,918155619
20100927;20,2;80;18;0;82,14138587;16,13924599;46,22;3,591446196;17,23396541;5,331773968
20100928;20,4;81;22;0;82,18814882;16,81236412;49,596;4,418486288;18,20046116;6,71892624
20100929;17,1;78;27;0;82,23492721;17,47213523;52,378;5,716958413;19,05416057;8,681184516
20100930;18;45;10;0;86,47240233;19,20312812;55,322;4,283616649;20,56241752;7,006619517
20101001;13;98;2;0;78,1970474;19,25653892;58,616;1,059522797;21,1459223;0,994960852
20101002;17;45;11;3;71,90175191;16,42135659;59,85903127;1,161148489;19,48157562;1,197457111
20101003;20;41;3;0;83,68475337;18,77919719;64,41303127;2,052874101;21,72438739;3,412462837
20101004;21;45;5;0;87,1910399;21,08135419;69,14703127;3,687546276;23,92627118;6,674650617
