DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20210705;13;81;3;0;82,32715956;7,27628756;22,548;1,725780237;8,054535652;0,929335928
20210706;17;80;15;0;82,37398385;7,72194576;25,312;3,177295725;8,76161486;3,048620451
20210707;18;79;4;0;82,42082359;8,21573997;28,256;1,83612741;9,515002923;1,347116406
20210708;20;78;12;0;82,4676788;8,78721659;31,56;2,763571581;10,36184205;2,862226758
20210709;21;67;24;0;84,16015936;9,68505782;35,044;6,299214207;11,45536231;7,238278753
20210710;18;80;19;0;83,18815982;10,15533802;37,988;4,308336259;12,17428933;5,207880325
20210711;14;68;15;0;83,30015362;10,75020554;40,212;3,573404973;12,88726442;4,44141047
20210712;23;71;15;2;75,32189298;9,867199539;44,056;1,660758722;12,65087452;1,536566723
20210713;20;75;3;0;79,25672055;10,51660479;47,36;1,227565375;13,52494713;0,877499347
20210714;15;91;7;32;22,32810178;4,37434613;2,404;0,000440522;3,782025627;0,000168999
20210715;13;91;12;14;16,40020155;1,729540558;2,044;5,45686E-05;1,39970536;1,53977E-05
20210716;9;94;7;0;23,2941585;1,804145218;3,368;0,000618304;1,670548488;0,000182284
20210717;13;64;15;0;54,58658286;2,429051578;5,412;0,571963635;2,376001161;0,186503921
20210718;10;70;27;0;70,99248593;2,839007878;6,916;2,518576331;2,827052974;0,869191056
20210719;11;68;15;0;77,90764023;3,315689798;8,6;1,990372331;3,376701195;0,731546331
20210720;13;59;15;0;82,42680812;4,027388708;10,644;3,198179903;4,139295965;1,877177637
20210721;14;65;15;0;83,3882255;4,678025058;12,868;3,61452973;4,901410489;2,514125982
20210722;18;61;15;0;84,70968126;5,595071448;15,812;4,311723685;5,937598916;3,497331689
20210723;22;64;12;0;85,16855996;6,618854208;19,476;3,947858393;7,157000783;3,500021072
20210724;22;65;16;0;85,21632233;7,614198558;23,14;4,861223413;8,355209527;4,785074625
20210725;22;78;7;8;50,05643942;4,216247206;15,75754138;0,235063448;5,052649413;0,10157672
20210726;15;71;16;0;69,21072372;4,791047796;18,16154138;1,366018666;5,774070033;0,626443788
20210727;11;45;24;0;81,59862276;5,610344846;19,84554138;4,552183213;6,574296858;3,927853192
20210728;8;76;24;0;81,64520652;5,879217086;20,98954138;4,577334478;6,915686418;4,059473713
20210729;10;62;15;0;82,96155187;6,398495066;22,49354138;3,421039533;7,478599104;3,023217252
20210730;13;59;15;0;84,16225868;7,110193976;24,53754138;4,003970055;8,246476042;3,857412701
20210731;14;65;3;0;84,20968882;7,760830326;26,76154138;2,201395248;8,998072271;1,836632407
20210801;16;59;15;0;84,93458427;8,743464042;29,34554138;4,446460941;10,0218997;4,818755959
20210802;14;70;15;0;84,61438378;9,378370722;31,56954138;4,256118307;10,76318615;4,795112343
20210803;14;73;3;0;84,16375652;9,949786734;33,79354138;2,187867298;11,46241503;2,242347271
20210804;16;73;9;0;84,21118716;10,59688699;36,37754138;2,978955099;12,26308807;3,517311873
20210805;17;82;16;0;82,66617233;11,05351523;39,14154138;3,465597516;12,95842723;4,313290607
20210806;20;76;7;0;82,71310854;11,76326522;42,44554138;2,215276103;13,89763171;2,664129207
20210807;23;71;16;0;83,82101863;12,7428155;46,28954138;4,023626035;15,09622262;5,511539248
20210808;24;68;15;0;84,66880237;13,86854849;50,31354138;4,287764016;16,42116858;6,155935974
20210809;11;91;24;13,5;31,63817877;6,443722848;30,41215572;0,017885934;8,424821177;0,009855812
20210810;10;84;9;0,5;46,14363186;6,692639904;31,91615572;0,15381603;8,781631762;0,086601004
20210811;11;56;15;0;68,69284931;7,438830448;33,60015572;1,277747865;9,576977652;0,75309568
20210812;13;62;7;0;77,4566083;8,189786296;35,64415572;1,282640642;10,40360616;0,79057713
20210813;14;73;6;0;80,0142067;8,761202308;37,86815572;1,54082169;11,10135942;0,984303409
20210814;18;74;5;0;81,55817606;9,457217004;40,81215572;1,739533249;11,97636261;1,584926244
20210815;18;61;9;0;84,03495718;10,50123905;43,75615572;2,909478797;13,12666052;3,58094456
20210816;19;66;19;0;84,37627206;11,45906515;46,88015572;5,041005379;14,22529523;6,612287391
20210817;22;71;9;0;84,42377287;12,3979702;50,54415572;3,065542723;15,37041936;4,211140323
20210818;26;70;10;0;84,75223119;13,53743848;54,92815572;3,37111908;16,75277355;4,915219006
20210819;30;49;21;0;88,83748121;15,76045279;60,03215572;10,45254315;19,03052746;14,20170561
20210820;18;56;21;0;87,83038565;16,93832382;62,97615572;9,046690206;20,25618333;13,08155437
20210821;18;62;28;0;86,76996954;17,95557606;65,92015572;11,06514008;21,36348755;15,68909886
20210822;22;72;21;0;85,56400748;18,86210507;69,58415572;6,562870935;22,4860407;10,65848732
20210823;15;49;15;0;86,44118858;20,01292599;71,98815572;5,486466288;23,61396615;9,421682148
20210824;16;62;21;0;86,28796973;20,92365968;74,57215572;7,263987542;24,59499307;12,1333276
20210825;17;69;15;0;85,40031546;21,71007499;77,33615572;4,74167964;25,51411906;8,682014992
20210826;17;40;7;0;87,77731424;23,23216915;80,10015572;4,434794315;26,93432587;8,449771448
20210827;18;51;8;0;87,8259379;24,54388916;83,04415572;4,696521573;28,22952642;9,120999122
20210828;19;58;19;0;87,49210079;25,72708611;86,16815572;7,793189268;29,46264054;14,08990206
20210829;22;65;3;0;86,8938911;26,86024737;89,83215572;3,19600584;30,74112988;6,817961444
20210830;25;64;19;0;86,9422231;28,17715314;94,03615572;7,205563842;32,21895244;13,89340656
20210831;28;53;19;0;88,05131282;30,09406676;98,78015572;8,442580103;34,16591776;16,17277664
20210901;27;60;7;0;88,10002694;31,94617148;103,3441557;4,644624552;36,04014637;10,38671152
20210902;18;91;12;34;27,43123675;10,57342049;42,8966499;0,003016357;13,08417716;0,002115109
20210903;18;87;9;0;44,86074148;10,98256426;45,8406499;0,126661792;13,73719163;0,091368153
20210904;17;79;15;0;64,15579911;11,60888544;48,6046499;1,084156308;14,53738531;0,808553174
20210905;16;89;4;0,5;68,34933049;11,91883286;51,1886499;0,726114311;15,06707285;0,553170761
20210906;19;76;19;0;77,68829846;12,71372193;54,3126499;2,39144415;16,04042629;3,268757023
20210907;16;93;16;15;27,22387146;5,82943456;32,45064519;0,003466412;8,045592928;0,001865615
20210908;17;90;21;38;21,74281356;2,421078237;2,764;0,000722309;2,077076926;0,000226142
20210909;13;86;27;0,5;44,38771302;2,746350009;4,808;0,291168153;2,58368361;0,097518003
20210910;14;88;15;0,5;56,8279981;3,044927745;7,032;0,69488849;3,008339482;0,245014316
20210911;18;74;24;0;74,15194102;3,863215293;9,976;2,456156457;3,925777806;0,956084962
20210912;24;68;15;0;82,31783049;5,186712189;14;3,155311655;5,38543863;2,194169021
20210913;23;84;19;0;82,36465169;5,822096157;17,844;3,882172927;6,413081453;3,222222235
20210914;18;51;34;0;86,12256457;7,364253459;20,788;13,66131282;7,810889649;11,77404373
20210915;18;41;3;0;87,87605664;9,221136741;23,732;3,677006274;9,354996553;3,774198502
20210916;20;51;12;0;87,92471289;10,92477648;27,036;5,82691636;10,91995824;6,573782225
20210917;20;63;15;0;86,93980018;12,21119833;30,34;5,888427126;12,20824869;7,03328033
20210918;23;73;15;0;84,8;13,28340878;34,184;4,365235945;13,47568046;5,590843312
20210919;19;85;15;0;82,23006508;13,78021445;37,308;3,121393713;14,32895007;4,104191061
20210920;21;82;28;28;48,48850076;6,213153584;3,484;0,555305856;5,623218345;0,251615559
20210921;16;61;10;0;70,25988604;7,312058066;6,068;1,044024099;6,843275501;0,518556344
20210922;16;73;17;0;78,10884408;8,072838092;8,652;2,238887686;7,698023108;1,636177033
20210923;21;68;2;0;81,698205;9,238148108;12,136;1,5205105;8,945187269;0,864374993
20210924;16;83;5;0;81,74482163;9,717157754;14,72;1,778439253;9,485584005;1,225918892
20210925;21;58;10;0;85,03277567;11,24662715;18,204;3,503283343;11,04323321;3,954449649
20210926;24;60;9;0;86,0318597;12,90099827;22,228;3,827899229;12,72464359;4,737046307
20210927;26;59;8;0;86,6633221;14,73184663;26,612;3,979161112;14,57591762;5,33985652
20210928;16;90;9;3;54,6575419;11,07775124;26,63741912;0,42556315;11,05927659;0,271284159
20210929;19;78;8;0;68,84370057;11,80639956;29,76141912;0,902335639;11,85528039;0,598044651
20210930;20;80;12;0;76,34799372;12,50176272;33,06541912;1,522287677;12,85376688;1,274729286
20211001;21;66;12;0;82,36996803;13,92491432;37,79941912;2,73024996;14,49776377;3,558501973
20211002;23;61;15;0;85,22844388;15,70508492;42,89341912;4,63013275;16,39913609;6,612666705
20211003;16;61;10;1;81,01547451;16,96819352;46,72741912;2,101814967;17,78796504;3,01507035
20211004;19;44;9;0;86,45417794;19,10007992;51,10141912;4,062671286;19,7476015;6,515397817
20211005;20;55;10;0;86,52664174;20,89843292;55,65541912;4,316612396;21,55875549;7,252294518
20211006;24;46;19;0;88,44790385;23,46556052;60,92941912;8,936701967;23,91008071;14,07947779
20211007;16;57;10;0;87,46516745;24,85821872;64,76341912;4,933171569;25,37099291;8,955044353
20211008;20;60;18;0;87,27840695;26,45675472;69,31741912;7,187619869;27,07697257;12,65312481
20211009;20;70;24;0;85,71044565;27,65565672;73,87141912;7,791172525;28,57079359;13,86389639
20211010;21;78;8;0;84,27243307;28,57651952;78,60541912;2,856014046;29,94093206;6,032219094
20211011;20;86;15;41;36,05194294;9,860568289;11,48964271;0,032802969;9,516659453;0,019268718
20211012;21;76;3;0;56,39543037;10,86514589;16,22364271;0,366467247;10,62594423;0,228511002
20211013;16;93;3;17;16,76435109;4,901719306;3,834;4,0598E-05;4,41632661;1,65711E-05
20211014;21;78;8;13;33,51642434;2,786870875;4,734;0,012801102;2,61074612;0,004301964
20211015;17;67;21;0;65,1937006;3,918157075;8,748;1,53088235;3,865906055;0,592332201
20211016;17;42;15;0;82,35060006;5,906478275;12,762;3,168113976;5,838755912;2,329222136
20211017;20;50;11;0;86,19146969;7,904648275;17,316;4,329826667;7,842862956;4,08915751
20211018;24;49;3;0;87,7018247;10,32915768;22,59;3,586432228;10,26596328;3,881802934
